Category,CONFIRMED_FRAUD,NON_FRAUD,Grand Total,Share,PercentBad,PercentGood,WoE,IV
0,3033,322646,325679,0.6604,0.3706,0.6652,0.59,0.17
1 - <100K,3355,159298,162653,0.3298,0.4099,0.3284,-0.22,0.02
100K - <200K,1072,1866,2938,0.006,0.131,0.0038,-3.53,0.45
1M+,40,92,132,0.0003,0.0049,0.0002,-3.25,0.02
200K - <300K,230,474,704,0.0014,0.0281,0.001,-3.36,0.09
300K - <400K,203,209,412,0.0008,0.0248,0.0004,-4.05,0.1
400K - <500K,101,113,214,0.0004,0.0123,0.0002,-3.97,0.05
500K - <600K,59,93,152,0.0003,0.0072,0.0002,-3.63,0.03
600K - <700K,36,54,90,0.0002,0.0044,0.0001,-3.68,0.02
700K - <800K,14,52,66,0.0001,0.0017,0.0001,-2.77,0.0
800K - <900K,22,31,53,0.0001,0.0027,0.0001,-3.74,0.01
900K - <1M,19,21,40,0.0001,0.0023,0.0,-3.98,0.01
Other,0,56,56,0.0001,0.0,0.0001,4.75,0.0
Grand Total,8184,485005,493189,1.0,1.0,1.0,0.0,0.96
