Category,CONFIRMED_FRAUD,NON_FRAUD,Grand Total,Share,PercentBad,PercentGood,WoE,IV
0,3033,322646,325679,0.6604,0.3706,0.6652,0.59,0.17
1 - <50K,3367,159664,163031,0.3306,0.4114,0.3292,-0.22,0.02
100K - <150K,285,398,683,0.0014,0.0348,0.0008,-3.75,0.13
150K - <200K,45,131,176,0.0004,0.0055,0.0003,-3.01,0.02
200K - <250K,24,90,114,0.0002,0.0029,0.0002,-2.76,0.01
250K - <300K,9,39,48,0.0001,0.0011,0.0001,-2.62,0.0
300K - <350K,6,32,38,0.0001,0.0007,0.0001,-2.41,0.0
350K - <400K,8,20,28,0.0001,0.001,0.0,-3.17,0.0
400K - <450K,9,27,36,0.0001,0.0011,0.0001,-2.98,0.0
450K - <500K,6,9,15,0.0,0.0007,0.0,-3.68,0.0
500K+,8,36,44,0.0001,0.001,0.0001,-2.58,0.0
50K - <100K,1384,1857,3241,0.0066,0.1691,0.0038,-3.79,0.63
Other,0,56,56,0.0001,0.0,0.0001,4.75,0.0
Grand Total,8184,485005,493189,1.0,1.0,1.0,0.0,0.98
