Category,CONFIRMED_FRAUD,NON_FRAUD,Grand Total,Share,PercentBad,PercentGood,WoE,IV
0,3033,322646,325679,0.6604,0.3706,0.6652,0.59,0.17
1 - <50K,4143,147901,152044,0.3083,0.5062,0.3049,-0.51,0.1
100K - <150K,43,151,194,0.0004,0.0053,0.0003,-2.83,0.01
150K - <200K,12,28,40,0.0001,0.0015,0.0001,-3.23,0.0
200K - <250K,5,46,51,0.0001,0.0006,0.0001,-1.86,0.0
250K - <300K,2,15,17,0.0,0.0002,0.0,-2.07,0.0
300K - <350K,1,12,13,0.0,0.0001,0.0,-1.6,0.0
350K - <400K,1,7,8,0.0,0.0001,0.0,-2.14,0.0
400K - <450K,4,13,17,0.0,0.0005,0.0,-2.9,0.0
450K - <500K,2,5,7,0.0,0.0002,0.0,-3.17,0.0
500K+,5,25,30,0.0001,0.0006,0.0001,-2.47,0.0
50K - <100K,67,747,814,0.0017,0.0082,0.0015,-1.67,0.01
Other,866,13409,14275,0.0289,0.1058,0.0276,-1.34,0.1
Grand Total,8184,485005,493189,1.0,1.0,1.0,0.0,0.41
