Category,CONFIRMED_FRAUD,NON_FRAUD,Grand Total,Share,PercentBad,PercentGood,WoE,IV
0,2823,291017,293840,0.5958,0.3449,0.6,0.55,0.14
1 - <20K,1980,142226,144206,0.2924,0.2419,0.2932,0.19,0.01
100K - <120K,55,198,253,0.0005,0.0067,0.0004,-2.8,0.02
120K - <140K,34,75,109,0.0002,0.0042,0.0002,-3.29,0.01
140K - <160K,18,58,76,0.0002,0.0022,0.0001,-2.91,0.01
160K - <180K,10,30,40,0.0001,0.0012,0.0001,-2.98,0.0
180K - <200K,11,26,37,0.0001,0.0013,0.0001,-3.22,0.0
200K+,56,231,287,0.0006,0.0068,0.0005,-2.66,0.02
20K - <40K,1360,4102,5462,0.0111,0.1662,0.0085,-2.98,0.47
40K - <60K,542,1463,2005,0.0041,0.0662,0.003,-3.09,0.2
60K - <80K,149,351,500,0.001,0.0182,0.0007,-3.23,0.06
80K - <100K,70,190,260,0.0005,0.0086,0.0004,-3.08,0.03
Other,1076,45038,46114,0.0935,0.1315,0.0929,-0.35,0.01
Grand Total,8184,485005,493189,1.0,1.0,1.0,0.0,0.97
