Category,CONFIRMED_FRAUD,NON_FRAUD,Grand Total,Share,PercentBad,PercentGood,WoE,IV
0 - <100,5955,484866,490821,0.9952,0.7276,0.9997,0.32,0.09
100 - <200,303,69,372,0.0008,0.037,0.0001,-5.56,0.21
200 - <300,425,17,442,0.0009,0.0519,0.0,-7.3,0.38
300 - <400,251,22,273,0.0006,0.0307,0.0,-6.52,0.2
400 - <500,276,26,302,0.0006,0.0337,0.0001,-6.44,0.22
500 - <600,321,2,323,0.0007,0.0392,0.0,-9.16,0.36
600 - <700,166,2,168,0.0003,0.0203,0.0,-8.5,0.17
700 - <800,101,1,102,0.0002,0.0123,0.0,-8.7,0.11
800+,386,0,386,0.0008,0.0472,0.0,-10.76,0.51
Grand Total,8184,485005,493189,1.0,1.0,1.0,0.0,2.23
