Category,CONFIRMED_FRAUD,NON_FRAUD,Grand Total,Share,PercentBad,PercentGood,WoE,IV
0 - <150,6097,484911,491008,0.9956,0.745,0.9998,0.29,0.07
1050+,234,0,234,0.0005,0.0286,0.0,-10.26,0.29
150 - <300,586,41,627,0.0013,0.0716,0.0001,-6.74,0.48
301 - <450,368,39,407,0.0008,0.045,0.0001,-6.33,0.28
450 - <600,474,11,485,0.001,0.0579,0.0,-7.85,0.45
600 - <750,229,3,232,0.0005,0.028,0.0,-8.42,0.24
750 - <900,92,0,92,0.0002,0.0112,0.0,-9.33,0.1
900 - <1050,98,0,98,0.0002,0.012,0.0,-9.39,0.11
Other,6,0,6,0.0,0.0007,0.0,-6.6,0.0
Grand Total,8184,485005,493189,1.0,1.0,1.0,0.0,2.05
