Category,CONFIRMED_FRAUD,NON_FRAUD,Grand Total,Share,PercentBad,PercentGood,WoE,IV
ACN,1,178,179,0.0004,0.0001,0.0004,1.1,0.0
AHMC,0,65,65,0.0001,0.0,0.0001,0.0,0.0
ASIAN HOSPITAL,0,360,360,0.0007,0.0,0.0007,0.0,0.0
Accenture,2,1009,1011,0.002,0.0002,0.0021,2.14,0.0
CEBPAC,12,220,232,0.0005,0.0015,0.0005,-1.17,0.0
COG,0,26,26,0.0001,0.0,0.0001,0.0,0.0
CONCEN,1,670,671,0.0014,0.0001,0.0014,2.43,0.0
CSMC,1,242,243,0.0005,0.0001,0.0005,1.41,0.0
Cognizant,2,269,271,0.0005,0.0002,0.0006,0.82,0.0
Concentrix,20,3565,3585,0.0073,0.0024,0.0074,1.1,0.01
FE,0,276,276,0.0006,0.0,0.0006,0.0,0.0
Foundever,9,1608,1617,0.0033,0.0011,0.0033,1.1,0.0
GoTyme Bank,0,3,3,0.0,0.0,0.0,0.0,0.0
MASA,0,15,15,0.0,0.0,0.0,0.0,0.0
MIN,5,572,577,0.0012,0.0006,0.0012,0.66,0.0
Maxicare,2,97,99,0.0002,0.0002,0.0002,-0.2,0.0
NB,1,1685,1686,0.0034,0.0001,0.0035,3.35,0.01
NLUZ,22,8832,8854,0.018,0.0027,0.0182,1.91,0.03
NNCR,18,977,995,0.002,0.0022,0.002,-0.09,0.0
No Kiosk Interaction,6645,153370,160015,0.3244,0.812,0.3162,-0.94,0.47
NonEco,0,23,23,0.0,0.0,0.0,0.0,0.0
POLY,0,7,7,0.0,0.0,0.0,0.0,0.0
Polystar,2,123,125,0.0003,0.0002,0.0003,0.04,0.0
RDS,9,9202,9211,0.0187,0.0011,0.019,2.85,0.05
RE,25,10125,10150,0.0206,0.0031,0.0209,1.92,0.03
RLC,29,5688,5717,0.0116,0.0035,0.0117,1.2,0.01
RLCEXXA,0,24,24,0.0,0.0,0.0,0.0,0.0
RLCGIGA,0,24,24,0.0,0.0,0.0,0.0,0.0
RLCTERRA,0,25,25,0.0001,0.0,0.0001,0.0,0.0
RLCZETA,0,5,5,0.0,0.0,0.0,0.0,0.0
RRHI,1193,228363,229556,0.4655,0.1458,0.4708,1.17,0.38
RS,27,30105,30132,0.0611,0.0033,0.0621,2.93,0.17
SLUZ,27,194,221,0.0004,0.0033,0.0004,-2.11,0.01
SM Retail,24,4617,4641,0.0094,0.0029,0.0095,1.18,0.01
SMSTORE,4,3602,3606,0.0073,0.0005,0.0074,2.72,0.02
SNCR,13,56,69,0.0001,0.0016,0.0001,-2.62,0.0
SPA,0,25,25,0.0001,0.0,0.0001,0.0,0.0
SSD,0,490,490,0.001,0.0,0.001,0.0,0.0
STLUKES,0,50,50,0.0001,0.0,0.0001,0.0,0.0
SW,5,2283,2288,0.0046,0.0006,0.0047,2.04,0.01
St. Lukes,0,154,154,0.0003,0.0,0.0003,0.0,0.0
TMP,3,2547,2550,0.0052,0.0004,0.0053,2.66,0.01
TP,0,1061,1061,0.0022,0.0,0.0022,0.0,0.0
TV,1,77,78,0.0002,0.0001,0.0002,0.26,0.0
Teleperformance,15,4120,4135,0.0084,0.0018,0.0085,1.53,0.01
UQUITY,0,42,42,0.0001,0.0,0.0001,0.0,0.0
Ubiquity,27,205,232,0.0005,0.0033,0.0004,-2.05,0.01
VIS,38,7723,7761,0.0157,0.0046,0.0159,1.23,0.01
VRP,1,6,7,0.0,0.0001,0.0,-2.29,0.0
Grand Total,8184,485005,493189,1.0,1.0,1.0,0.0,1.26
