Category,CONFIRMED_FRAUD,NON_FRAUD,Grand Total,Share,PercentBad,PercentGood,WoE,IV
AHMC,0,425,425,0.0009,0.0,0.0009,0.0,0.0
Accenture,3,1187,1190,0.0024,0.0004,0.0024,1.9,0.0
CSMC,1,242,243,0.0005,0.0001,0.0005,1.41,0.0
Cognizant,2,295,297,0.0006,0.0002,0.0006,0.91,0.0
Concentrix,21,4235,4256,0.0086,0.0026,0.0087,1.22,0.01
DIY & Hardware,2,466,468,0.0009,0.0002,0.001,1.37,0.0
Department Store,180,48679,48859,0.0991,0.022,0.1004,1.52,0.12
EVENTS,18,925,943,0.0019,0.0022,0.0019,-0.14,0.0
Events,92,14854,14946,0.0303,0.0112,0.0306,1.0,0.02
Foundever,9,1884,1893,0.0038,0.0011,0.0039,1.26,0.0
HOSPITAL,1,18,19,0.0,0.0001,0.0,-1.19,0.0
Head Office,0,3,3,0.0,0.0,0.0,0.0,0.0
JG Roadshow,12,220,232,0.0005,0.0015,0.0005,-1.17,0.0
MALLS,10,992,1002,0.002,0.0012,0.002,0.52,0.0
MASA,0,15,15,0.0,0.0,0.0,0.0,0.0
MAXIM,2,941,943,0.0019,0.0002,0.0019,2.07,0.0
Malls,1,642,643,0.0013,0.0001,0.0013,2.38,0.0
Maxicare,1,64,65,0.0001,0.0001,0.0001,0.08,0.0
No Kiosk Interaction,6645,153370,160015,0.3244,0.812,0.3162,-0.94,0.47
OFFICE,25,4879,4904,0.0099,0.0031,0.0101,1.19,0.01
Pharmacy,4,2247,2251,0.0046,0.0005,0.0046,2.25,0.01
Polystar,2,130,132,0.0003,0.0002,0.0003,0.09,0.0
RLC,4,902,906,0.0018,0.0005,0.0019,1.34,0.0
SM Store,28,8219,8247,0.0167,0.0034,0.0169,1.6,0.02
St. Lukes,0,204,204,0.0004,0.0,0.0004,0.0,0.0
Supermarket,1078,233510,234588,0.4757,0.1317,0.4815,1.3,0.45
Teleperformance,15,5181,5196,0.0105,0.0018,0.0107,1.76,0.02
Ubiquity,27,247,274,0.0006,0.0033,0.0005,-1.87,0.01
VRP,1,6,7,0.0,0.0001,0.0,-2.29,0.0
Wodd Coffee,0,23,23,0.0,0.0,0.0,0.0,0.0
Grand Total,8184,485005,493189,1.0,1.0,1.0,0.0,1.15
