Category,CONFIRMED_FRAUD,NON_FRAUD,Grand Total,Share,PercentBad,PercentGood,WoE,IV
ATO,1557,0,1557,0.0032,0.1902,0.0,0.0,-0.0
CBD,129,0,129,0.0003,0.0158,0.0,0.0,-0.0
GAMIFICATION,2,0,2,0.0,0.0002,0.0,0.0,-0.0
MULE,5002,0,5002,0.0101,0.6112,0.0,0.0,-0.0
NONE,0,485005,485005,0.9834,0.0,1.0,0.0,0.0
ORIGINATION_FRAUD_ID_RELATED,128,0,128,0.0003,0.0156,0.0,0.0,-0.0
REPORTED_BY_OTHER_BANK,1,0,1,0.0,0.0001,0.0,0.0,-0.0
SCAM,1364,0,1364,0.0028,0.1667,0.0,0.0,-0.0
SMISHING,1,0,1,0.0,0.0001,0.0,0.0,-0.0
Grand Total,8184,485005,493189,1.0,1.0,1.0,0.0,0.0
