Category,CONFIRMED_FRAUD,NON_FRAUD,Grand Total,Share,PercentBad,PercentGood,WoE,IV
AHMC,0,423,423,0.0009,0.0,0.0009,0.0,0.0
Accenture,3,1193,1196,0.0024,0.0004,0.0025,1.9,0.0
CSMC,1,242,243,0.0005,0.0001,0.0005,1.41,0.0
Cognizant,2,292,294,0.0006,0.0002,0.0006,0.9,0.0
Concentrix,21,4229,4250,0.0086,0.0026,0.0087,1.22,0.01
DIY & Hardware,2,466,468,0.0009,0.0002,0.001,1.37,0.0
Department Store,180,48656,48836,0.099,0.022,0.1003,1.52,0.12
EVENTS,18,922,940,0.0019,0.0022,0.0019,-0.15,0.0
Events,90,14848,14938,0.0303,0.011,0.0306,1.02,0.02
Foundever,9,1879,1888,0.0038,0.0011,0.0039,1.26,0.0
HOSPITAL,1,20,21,0.0,0.0001,0.0,-1.09,0.0
Head Office,0,3,3,0.0,0.0,0.0,0.0,0.0
JG Roadshow,13,221,234,0.0005,0.0016,0.0005,-1.25,0.0
MALLS,10,989,999,0.002,0.0012,0.002,0.51,0.0
MASA,0,14,14,0.0,0.0,0.0,0.0,0.0
MAXIM,2,939,941,0.0019,0.0002,0.0019,2.07,0.0
Malls,1,644,645,0.0013,0.0001,0.0013,2.39,0.0
Maxicare,1,64,65,0.0001,0.0001,0.0001,0.08,0.0
No Kiosk Interaction,6645,153370,160015,0.3244,0.812,0.3162,-0.94,0.47
OFFICE,25,4877,4902,0.0099,0.0031,0.0101,1.19,0.01
Pharmacy,4,2249,2253,0.0046,0.0005,0.0046,2.25,0.01
Polystar,2,130,132,0.0003,0.0002,0.0003,0.09,0.0
RLC,4,905,909,0.0018,0.0005,0.0019,1.34,0.0
SM Store,28,8225,8253,0.0167,0.0034,0.017,1.6,0.02
St. Lukes,0,202,202,0.0004,0.0,0.0004,0.0,0.0
Supermarket,1079,233541,234620,0.4757,0.1318,0.4815,1.3,0.45
Teleperformance,15,5187,5202,0.0105,0.0018,0.0107,1.76,0.02
Ubiquity,27,246,273,0.0006,0.0033,0.0005,-1.87,0.01
VRP,1,6,7,0.0,0.0001,0.0,-2.29,0.0
Wodd Coffee,0,23,23,0.0,0.0,0.0,0.0,0.0
Grand Total,8184,485005,493189,1.0,1.0,1.0,0.0,1.15
