Category,CONFIRMED_FRAUD,NON_FRAUD,Grand Total,Share,PercentBad,PercentGood,WoE,IV
0,3050,324115,327165,0.6634,0.3727,0.6683,0.58,0.17
1 - <5K,803,112187,112990,0.2291,0.0981,0.2313,0.86,0.11
10K - <15K,287,11147,11434,0.0232,0.0351,0.023,-0.42,0.01
15K - <20K,307,4495,4802,0.0097,0.0375,0.0093,-1.4,0.04
20K - <25K,340,3793,4133,0.0084,0.0415,0.0078,-1.67,0.06
25K - <30K,456,1747,2203,0.0045,0.0557,0.0036,-2.74,0.14
30K - <35K,436,1810,2246,0.0046,0.0533,0.0037,-2.66,0.13
35K - <40K,150,755,905,0.0018,0.0183,0.0016,-2.47,0.04
40K - <45K,213,969,1182,0.0024,0.026,0.002,-2.57,0.06
45K+,1609,4880,6489,0.0132,0.1966,0.0101,-2.97,0.55
5K - <10K,533,19050,19583,0.0397,0.0651,0.0393,-0.51,0.01
Other,0,57,57,0.0001,0.0,0.0001,4.77,0.0
Grand Total,8184,485005,493189,1.0,1.0,1.0,0.0,1.33
