Category,CONFIRMED_FRAUD,NON_FRAUD,Grand Total,Share,PercentBad,PercentGood,WoE,IV
0,3386,373998,377384,0.7652,0.4137,0.7711,0.62,0.22
1 - <5K,1344,90569,91913,0.1864,0.1642,0.1867,0.13,0.0
10K - <15K,719,3884,4603,0.0093,0.0879,0.008,-2.4,0.19
15K - <20K,306,1863,2169,0.0044,0.0374,0.0038,-2.28,0.08
20K - <25K,385,1314,1699,0.0034,0.047,0.0027,-2.85,0.13
25K - <30K,179,710,889,0.0018,0.0219,0.0015,-2.7,0.06
30K - <35K,198,595,793,0.0016,0.0242,0.0012,-2.98,0.07
35K - <40K,64,311,375,0.0008,0.0078,0.0006,-2.5,0.02
40K - <45K,73,338,411,0.0008,0.0089,0.0007,-2.55,0.02
45K+,685,1900,2585,0.0052,0.0837,0.0039,-3.06,0.24
5K - <10K,845,9522,10367,0.021,0.1033,0.0196,-1.66,0.14
Other,0,1,1,0.0,0.0,0.0,0.72,0.0
Grand Total,8184,485005,493189,1.0,1.0,1.0,0.0,1.17
