Category,CONFIRMED_FRAUD,NON_FRAUD,Grand Total,Share,PercentBad,PercentGood,WoE,IV
0 - <10,5309,484075,489384,0.9923,0.6487,0.9981,0.43,0.15
10 - <20,464,679,1143,0.0023,0.0567,0.0014,-3.7,0.2
20 - <30,457,126,583,0.0012,0.0558,0.0003,-5.37,0.3
30 - <40,475,42,517,0.001,0.058,0.0001,-6.51,0.38
40 - <50,354,30,384,0.0008,0.0433,0.0001,-6.55,0.28
50 - <60,276,11,287,0.0006,0.0337,0.0,-7.3,0.25
60 - <70,418,6,424,0.0009,0.0511,0.0,-8.33,0.43
70 - <80,243,14,257,0.0005,0.0297,0.0,-6.94,0.21
80+,188,22,210,0.0004,0.023,0.0,-6.23,0.14
Grand Total,8184,485005,493189,1.0,1.0,1.0,0.0,2.33
