Category,CONFIRMED_FRAUD,NON_FRAUD,Grand Total,Share,PercentBad,PercentGood,WoE,IV
0,3050,324115,327165,0.6634,0.3727,0.6683,0.58,0.17
1 - <5K,2954,142559,145513,0.295,0.3609,0.2939,-0.21,0.01
10K - <15K,929,3504,4433,0.009,0.1135,0.0072,-2.75,0.29
15K - <20K,306,1082,1388,0.0028,0.0374,0.0022,-2.82,0.1
20K - <25K,149,1139,1288,0.0026,0.0182,0.0023,-2.05,0.03
25K - <30K,59,389,448,0.0009,0.0072,0.0008,-2.2,0.01
30K - <35K,29,429,458,0.0009,0.0035,0.0009,-1.39,0.0
35K - <40K,19,150,169,0.0003,0.0023,0.0003,-2.02,0.0
40K - <45K,22,199,221,0.0004,0.0027,0.0004,-1.88,0.0
45K+,206,978,1184,0.0024,0.0252,0.002,-2.52,0.06
5K - <10K,447,7644,8091,0.0164,0.0546,0.0158,-1.24,0.05
Other,14,2817,2831,0.0057,0.0017,0.0058,1.22,0.01
Grand Total,8184,485005,493189,1.0,1.0,1.0,0.0,0.75
