Category,CONFIRMED_FRAUD,NON_FRAUD,Grand Total,Share,PercentBad,PercentGood,WoE,IV
0,3386,373998,377384,0.7652,0.4137,0.7711,0.62,0.22
1 - <5K,4270,102316,106586,0.2161,0.5217,0.211,-0.91,0.28
10K - <15K,84,1636,1720,0.0035,0.0103,0.0034,-1.11,0.01
15K - <20K,57,860,917,0.0019,0.007,0.0018,-1.37,0.01
20K - <25K,56,544,600,0.0012,0.0068,0.0011,-1.81,0.01
25K - <30K,23,287,310,0.0006,0.0028,0.0006,-1.56,0.0
30K - <35K,19,200,219,0.0004,0.0023,0.0004,-1.73,0.0
35K - <40K,12,122,134,0.0003,0.0015,0.0003,-1.76,0.0
40K - <45K,11,104,115,0.0002,0.0013,0.0002,-1.84,0.0
45K+,133,571,704,0.0014,0.0163,0.0012,-2.62,0.04
5K - <10K,133,4358,4491,0.0091,0.0163,0.009,-0.59,0.0
Other,0,9,9,0.0,0.0,0.0,2.92,0.0
Grand Total,8184,485005,493189,1.0,1.0,1.0,0.0,0.58
