Category,CONFIRMED_FRAUD,NON_FRAUD,Grand Total,Share,PercentBad,PercentGood,WoE,IV
Industry_01,135,6606,6741,0.0137,0.0165,0.0136,-0.19,0.0
Industry_02,28,2150,2178,0.0044,0.0034,0.0044,0.26,0.0
Industry_03,81,2858,2939,0.006,0.0099,0.0059,-0.52,0.0
Industry_04,347,12473,12820,0.026,0.0424,0.0257,-0.5,0.01
Industry_05,308,17786,18094,0.0367,0.0376,0.0367,-0.03,0.0
Industry_06,35,1337,1372,0.0028,0.0043,0.0028,-0.44,0.0
Industry_07,413,40636,41049,0.0832,0.0505,0.0838,0.51,0.02
Industry_08,96,17415,17511,0.0355,0.0117,0.0359,1.12,0.03
Industry_09,19,554,573,0.0012,0.0023,0.0011,-0.71,0.0
Industry_10,14,1798,1812,0.0037,0.0017,0.0037,0.77,0.0
Industry_11,20,1281,1301,0.0026,0.0024,0.0026,0.08,0.0
Industry_12,31,2479,2510,0.0051,0.0038,0.0051,0.3,0.0
Industry_13,10,379,389,0.0008,0.0012,0.0008,-0.45,0.0
Industry_14,17,1723,1740,0.0035,0.0021,0.0036,0.54,0.0
Industry_15,576,71904,72480,0.147,0.0704,0.1483,0.75,0.06
Industry_16,136,21859,21995,0.0446,0.0166,0.0451,1.0,0.03
Industry_17,2616,98617,101233,0.2053,0.3196,0.2033,-0.45,0.05
Industry_18,630,41413,42043,0.0852,0.077,0.0854,0.1,0.0
Industry_19,48,2853,2901,0.0059,0.0059,0.0059,0.0,0.0
Industry_20,223,18342,18565,0.0376,0.0272,0.0378,0.33,0.0
Industry_21,2401,120542,122943,0.2493,0.2934,0.2485,-0.17,0.01
Grand Total,8184,485005,493189,1.0,1.0,1.0,0.0,0.21
