Category,CONFIRMED_FRAUD,NON_FRAUD,Grand Total,Share,PercentBad,PercentGood,WoE,IV
Accountant,87,2584,2671,0.0054,0.0106,0.0053,-0.69,0.0
Aesthetic professional,9,413,422,0.0009,0.0011,0.0009,-0.26,0.0
Bank employee,91,4357,4448,0.009,0.0111,0.009,-0.21,0.0
Casino employee,23,779,802,0.0016,0.0028,0.0016,-0.56,0.0
Chef,6,946,952,0.0019,0.0007,0.002,0.98,0.0
Chief executives,69,2281,2350,0.0048,0.0084,0.0047,-0.58,0.0
Controller,7,294,301,0.0006,0.0009,0.0006,-0.34,0.0
Dentist,5,484,489,0.001,0.0006,0.001,0.49,0.0
Doctor,8,2319,2327,0.0047,0.001,0.0048,1.59,0.01
Domestic helper,56,4465,4521,0.0092,0.0068,0.0092,0.3,0.0
Driver,188,14768,14956,0.0303,0.023,0.0304,0.28,0.0
E Money Issuing,34,450,484,0.001,0.0042,0.0009,-1.5,0.0
Factory Worker,15,2118,2133,0.0043,0.0018,0.0044,0.87,0.0
Film / Video,9,515,524,0.0011,0.0011,0.0011,-0.04,0.0
Flight attendant,0,107,107,0.0002,0.0,0.0002,0.0,0.0
Government official,85,3983,4068,0.0082,0.0104,0.0082,-0.23,0.0
Government staff,213,16238,16451,0.0334,0.026,0.0335,0.25,0.0
Hairstylist,19,503,522,0.0011,0.0023,0.001,-0.81,0.0
Housewife,1259,35533,36792,0.0746,0.1538,0.0733,-0.74,0.06
Insurance employee,36,1217,1253,0.0025,0.0044,0.0025,-0.56,0.0
Judge,2,14,16,0.0,0.0002,0.0,-2.14,0.0
Lawyer,1,372,373,0.0008,0.0001,0.0008,1.84,0.0
Make up artist,22,263,285,0.0006,0.0027,0.0005,-1.6,0.0
Media and entertainment Worker,18,1255,1273,0.0026,0.0022,0.0026,0.16,0.0
Medical professional,3,855,858,0.0017,0.0004,0.0018,1.57,0.0
Middle management,143,12179,12322,0.025,0.0175,0.0251,0.36,0.0
Not on the list,576,71904,72480,0.147,0.0704,0.1483,0.75,0.06
Nurse,23,5027,5050,0.0102,0.0028,0.0104,1.31,0.01
Other Beauty and Personal Care Worker,31,1679,1710,0.0035,0.0038,0.0035,-0.09,0.0
Other Financial Services Worker,94,5115,5209,0.0106,0.0115,0.0105,-0.09,0.0
Other Government Worker,85,11249,11334,0.023,0.0104,0.0232,0.8,0.01
Other Healthcare Worker,60,9585,9645,0.0196,0.0073,0.0198,0.99,0.01
Other Legal Worker,11,1389,1400,0.0028,0.0013,0.0029,0.76,0.0
Other Overseas Foreign Worker,29,7232,7261,0.0147,0.0035,0.0149,1.44,0.02
Other Transportation Worker,29,3008,3037,0.0062,0.0035,0.0062,0.56,0.0
Other Unemployed/Student,1000,77464,78464,0.1591,0.1222,0.1597,0.27,0.01
Other Worker,8,450,458,0.0009,0.001,0.0009,-0.05,0.0
Persons with disability,33,929,962,0.002,0.004,0.0019,-0.74,0.0
Pilot,1,82,83,0.0002,0.0001,0.0002,0.32,0.0
Prosecutor,0,23,23,0.0,0.0,0.0,0.0,0.0
Radio / News paper,0,127,127,0.0003,0.0,0.0003,0.0,0.0
Rank and file,11,3980,3991,0.0081,0.0013,0.0082,1.81,0.01
Real Estate employee,13,436,449,0.0009,0.0016,0.0009,-0.57,0.0
Remittance employee,79,898,977,0.002,0.0097,0.0019,-1.65,0.01
Retired,109,6616,6725,0.0136,0.0133,0.0136,0.02,0.0
Sabong employee,4,108,112,0.0002,0.0005,0.0002,-0.79,0.0
Seaferer,27,6243,6270,0.0127,0.0033,0.0129,1.36,0.01
Self-employed,2616,98617,101233,0.2053,0.3196,0.2033,-0.45,0.05
Senior management,86,4682,4768,0.0097,0.0105,0.0097,-0.08,0.0
Staff,823,52725,53548,0.1086,0.1006,0.1087,0.08,0.0
Technician / Engineer,5,377,382,0.0008,0.0006,0.0008,0.24,0.0
Television / Social Media,4,582,586,0.0012,0.0005,0.0012,0.9,0.0
Uniformed personnel,19,5186,5205,0.0106,0.0023,0.0107,1.53,0.01
Grand Total,8184,485005,493189,1.0,1.0,1.0,0.0,0.33
