Category,CONFIRMED_FRAUD,NON_FRAUD,Grand Total,Share,PercentBad,PercentGood,WoE,IV
Allowance,909,38509,39418,0.0799,0.1111,0.0794,-0.34,0.01
Business Proceeds (Entities only),517,15344,15861,0.0322,0.0632,0.0316,-0.69,0.02
Donation,4,259,263,0.0005,0.0005,0.0005,0.09,0.0
Government Aid,14,564,578,0.0012,0.0017,0.0012,-0.39,0.0
Inheritance,11,371,382,0.0008,0.0013,0.0008,-0.56,0.0
Investment,165,3778,3943,0.008,0.0202,0.0078,-0.95,0.01
Pension,95,3653,3748,0.0076,0.0116,0.0075,-0.43,0.0
Personal Savings,3133,179831,182964,0.371,0.3828,0.3708,-0.03,0.0
Remittance,182,10474,10656,0.0216,0.0222,0.0216,-0.03,0.0
Salary,3154,232222,235376,0.4773,0.3854,0.4788,0.22,0.02
Grand Total,8184,485005,493189,1.0,1.0,1.0,0.0,0.07
