Category,CONFIRMED_FRAUD,NON_FRAUD,Grand Total,Share,PercentBad,PercentGood,WoE,IV
0,3033,322646,325679,0.6604,0.3706,0.6652,0.59,0.17
1 - <100K,2195,157585,159780,0.324,0.2682,0.3249,0.19,0.01
100K - <200K,591,2492,3083,0.0063,0.0722,0.0051,-2.64,0.18
1M+,424,346,770,0.0016,0.0518,0.0007,-4.29,0.22
200K - <300K,433,825,1258,0.0026,0.0529,0.0017,-3.44,0.18
300K - <400K,337,351,688,0.0014,0.0412,0.0007,-4.04,0.16
400K - <500K,269,212,481,0.001,0.0329,0.0004,-4.32,0.14
500K - <600K,205,145,350,0.0007,0.025,0.0003,-4.43,0.11
600K - <700K,217,118,335,0.0007,0.0265,0.0002,-4.69,0.12
700K - <800K,229,98,327,0.0007,0.028,0.0002,-4.93,0.14
800K - <900K,152,66,218,0.0004,0.0186,0.0001,-4.92,0.09
900K - <1M,99,65,164,0.0003,0.0121,0.0001,-4.5,0.05
Other,0,56,56,0.0001,0.0,0.0001,4.75,0.0
Grand Total,8184,485005,493189,1.0,1.0,1.0,0.0,1.57
