Category,CONFIRMED_FRAUD,NON_FRAUD,Grand Total,Share,PercentBad,PercentGood,WoE,IV
0 - <100K,5594,483606,489200,0.9919,0.6835,0.9971,0.38,0.12
100K - <200K,795,800,1595,0.0032,0.0971,0.0016,-4.08,0.39
1M+,32,4,36,0.0001,0.0039,0.0,-6.16,0.02
200K - <300K,480,303,783,0.0016,0.0587,0.0006,-4.54,0.26
300K - <400K,608,118,726,0.0015,0.0743,0.0002,-5.72,0.42
400K - <500K,263,74,337,0.0007,0.0321,0.0002,-5.35,0.17
500K - <600K,160,50,210,0.0004,0.0196,0.0001,-5.25,0.1
600K - <700K,134,22,156,0.0003,0.0164,0.0,-5.89,0.1
700K - <800K,78,17,95,0.0002,0.0095,0.0,-5.61,0.05
800K - <900K,28,6,34,0.0001,0.0034,0.0,-5.62,0.02
900K - <1M,12,5,17,0.0,0.0015,0.0,-4.96,0.01
Grand Total,8184,485005,493189,1.0,1.0,1.0,0.0,1.67
