Category,CONFIRMED_FRAUD,NON_FRAUD,Grand Total,Share,PercentBad,PercentGood,WoE,IV
0,2815,290425,293240,0.5946,0.344,0.5988,0.55,0.14
1 - <250K,2643,192309,194952,0.3953,0.3229,0.3965,0.21,0.02
1.25M - <1.5M,194,78,272,0.0006,0.0237,0.0002,-4.99,0.12
1.5M - <1.75M,109,76,185,0.0004,0.0133,0.0002,-4.44,0.06
1.75M+,296,187,483,0.001,0.0362,0.0004,-4.54,0.16
1M - <1.25M,376,135,511,0.001,0.0459,0.0003,-5.11,0.23
250K - <500K,886,1129,2015,0.0041,0.1083,0.0023,-3.84,0.41
500K - <750K,496,389,885,0.0018,0.0606,0.0008,-4.32,0.26
750K - <1M,369,221,590,0.0012,0.0451,0.0005,-4.59,0.21
Other,0,56,56,0.0001,0.0,0.0001,4.75,0.0
Grand Total,8184,485005,493189,1.0,1.0,1.0,0.0,1.6
