Category,CONFIRMED_FRAUD,NON_FRAUD,Grand Total,Share,PercentBad,PercentGood,WoE,IV
0,4488,418176,422664,0.857,0.5484,0.8622,0.45,0.14
1 - <50K,1071,62988,64059,0.1299,0.1309,0.1299,-0.01,0.0
100K - <150K,339,563,902,0.0018,0.0414,0.0012,-3.57,0.14
150K - <200K,168,217,385,0.0008,0.0205,0.0004,-3.83,0.08
200K - <250K,204,136,340,0.0007,0.0249,0.0003,-4.49,0.11
250K - <300K,220,118,338,0.0007,0.0269,0.0002,-4.7,0.13
300K - <350K,179,100,279,0.0006,0.0219,0.0002,-4.66,0.1
350K - <400K,207,51,258,0.0005,0.0253,0.0001,-5.48,0.14
400K - <450K,124,47,171,0.0003,0.0152,0.0001,-5.05,0.08
450K - <500K,145,32,177,0.0004,0.0177,0.0001,-5.59,0.1
500K+,621,153,774,0.0016,0.0759,0.0003,-5.48,0.41
50K - <100K,414,1699,2113,0.0043,0.0506,0.0035,-2.67,0.13
Other,4,725,729,0.0015,0.0005,0.0015,1.12,0.0
Grand Total,8184,485005,493189,1.0,1.0,1.0,0.0,1.55
