Category,CONFIRMED_FRAUD,NON_FRAUD,Grand Total,Share,PercentBad,PercentGood,WoE,IV
0 - <100,5721,484581,490302,0.9941,0.699,0.9991,0.36,0.11
100 - <200,373,286,659,0.0013,0.0456,0.0006,-4.35,0.2
200 - <300,435,52,487,0.001,0.0532,0.0001,-6.21,0.33
300 - <400,300,33,333,0.0007,0.0367,0.0001,-6.29,0.23
400 - <500,245,39,284,0.0006,0.0299,0.0001,-5.92,0.18
500 - <600,309,9,318,0.0006,0.0378,0.0,-7.62,0.29
600 - <700,249,2,251,0.0005,0.0304,0.0,-8.91,0.27
700 - <800,124,2,126,0.0003,0.0152,0.0,-8.21,0.12
800+,428,1,429,0.0009,0.0523,0.0,-10.14,0.53
Grand Total,8184,485005,493189,1.0,1.0,1.0,0.0,2.25
