Category,CONFIRMED_FRAUD,NON_FRAUD,Grand Total,Share,PercentBad,PercentGood,WoE,IV
0 - <5,5921,484781,490702,0.995,0.7235,0.9995,0.32,0.09
10 - <15,413,59,472,0.001,0.0505,0.0001,-6.03,0.3
15 - <20,441,22,463,0.0009,0.0539,0.0,-7.08,0.38
20 - <25,317,4,321,0.0007,0.0387,0.0,-8.45,0.33
25 - <30,120,0,120,0.0002,0.0147,0.0,-9.59,0.14
30 - <35,101,1,102,0.0002,0.0123,0.0,-8.7,0.11
35 - <40,116,0,116,0.0002,0.0142,0.0,-9.56,0.14
40+,147,0,147,0.0003,0.018,0.0,-9.8,0.18
5 - <10,608,138,746,0.0015,0.0743,0.0003,-5.56,0.41
Grand Total,8184,485005,493189,1.0,1.0,1.0,0.0,2.07
