Category,CONFIRMED_FRAUD,NON_FRAUD,Grand Total,Share,PercentBad,PercentGood,WoE,IV
0 - <50,6152,484824,490976,0.9955,0.7517,0.9996,0.29,0.07
100 - <150,469,39,508,0.001,0.0573,0.0001,-6.57,0.38
150 - <200,260,24,284,0.0006,0.0318,0.0,-6.46,0.21
200 - <250,171,22,193,0.0004,0.0209,0.0,-6.13,0.13
251 - <300,128,0,128,0.0003,0.0156,0.0,-9.66,0.15
300 - <350,105,0,105,0.0002,0.0128,0.0,-9.46,0.12
350+,124,0,124,0.0003,0.0152,0.0,-9.63,0.15
50 - <100,769,96,865,0.0018,0.094,0.0002,-6.16,0.58
Other,6,0,6,0.0,0.0007,0.0,-6.6,0.0
Grand Total,8184,485005,493189,1.0,1.0,1.0,0.0,1.78
