feature_name,data_type,description,null_count,unique_count,count,mean,std,min,25%,50%,75%,max
change_email_occurence,int64,Contact information change frequency indicating potential account takeover attempts,0,11,1073778.0,0.012293043813525702,0.1353656268195498,0.0,0.0,0.0,0.0,21.0
change_mob_num_occurence,int64,Contact information change frequency indicating potential account takeover attempts,0,13,1073778.0,0.01902534788382701,0.18194509107861542,0.0,0.0,0.0,0.0,93.0
txn_count_week_wk1,float64,Weekly transaction count for wk1 showing account activity frequency,773555,468,300223.0,3.4514111177358164,19.13475234203762,1.0,1.0,1.0,2.0,706.0
txn_amt_week_wk1,float64,Weekly transaction amount for wk1 indicating spending behavior patterns,773555,30872,300223.0,11721.815632479857,70351.21639692939,0.01,101.0,602.0,4540.0,16055000.0
txn_velocity_week_wk1,float64,Transaction velocity (transactions per day) for wk1 indicating account usage intensity,773555,468,300223.0,0.493058731105117,2.7335360488682823,0.1428571428571428,0.1428571428571428,0.1428571428571428,0.2857142857142857,100.8571428571429
txn_days_active_week_wk1,float64,Number of active transaction days in wk1 showing engagement consistency,773555,7,300223.0,1.5077559014465913,0.9920504119738291,1.0,1.0,1.0,2.0,7.0
txn_count_week_wk2,float64,Weekly transaction count for wk2 showing account activity frequency,920371,528,153407.0,5.74844042318799,30.9026350048734,1.0,1.0,1.0,3.0,936.0
txn_amt_week_wk2,float64,Weekly transaction amount for wk2 indicating spending behavior patterns,920371,27490,153407.0,19034.01717040291,101769.67875924069,0.01,485.0,2000.0,7700.0,19245000.0
txn_velocity_week_wk2,float64,Transaction velocity (transactions per day) for wk2 indicating account usage intensity,920371,528,153407.0,0.8212057747411414,4.4146621435478774,0.1428571428571428,0.1428571428571428,0.1428571428571428,0.4285714285714285,133.7142857142857
txn_days_active_week_wk2,float64,Number of active transaction days in wk2 showing engagement consistency,920371,7,153407.0,1.7334997751080459,1.2361264076917133,1.0,1.0,1.0,2.0,7.0
txn_count_week_wk3,float64,Weekly transaction count for wk3 showing account activity frequency,931370,492,142408.0,4.7999901690916245,25.714252698769425,1.0,1.0,1.0,3.0,772.0
txn_amt_week_wk3,float64,Weekly transaction amount for wk3 indicating spending behavior patterns,931370,28701,142408.0,17335.44008475648,81098.14809367667,0.01,500.0,2088.0,8485.0,3544830.0
txn_velocity_week_wk3,float64,Transaction velocity (transactions per day) for wk3 indicating account usage intensity,931370,492,142408.0,0.6857128812988036,3.673464671252912,0.1428571428571428,0.1428571428571428,0.1428571428571428,0.4285714285714285,110.2857142857143
txn_days_active_week_wk3,float64,Number of active transaction days in wk3 showing engagement consistency,931370,7,142408.0,1.7504494129543284,1.2172885538931064,1.0,1.0,1.0,2.0,7.0
txn_count_week_wk4,float64,Weekly transaction count for wk4 showing account activity frequency,917520,428,156258.0,4.245318639685648,20.172151066779325,1.0,1.0,2.0,3.0,713.0
txn_amt_week_wk4,float64,Weekly transaction amount for wk4 indicating spending behavior patterns,917520,34335,156258.0,17745.306564271912,87339.6997326865,0.01,600.0,2600.0,9930.0,4735400.0
txn_velocity_week_wk4,float64,Transaction velocity (transactions per day) for wk4 indicating account usage intensity,917520,428,156258.0,0.6064740913836639,2.8817358666845454,0.1428571428571428,0.1428571428571428,0.2857142857142857,0.4285714285714285,101.8571428571429
txn_days_active_week_wk4,float64,Number of active transaction days in wk4 showing engagement consistency,917520,9,156258.0,1.9469915140344813,1.4850346655388427,1.0,1.0,1.0,2.0,9.0
txn_velocity_delta_wk2_vs_wk1,float64,Change in transaction velocity between weeks indicating behavioral shifts or anomalies,978994,1067,94784.0,0.07572706665380535,3.0048611373505634,-84.0,-0.1428571428571428,0.0,0.1428571428571428,111.7142857142857
txn_velocity_delta_wk3_vs_wk2,float64,Change in transaction velocity between weeks indicating behavioral shifts or anomalies,999345,952,74433.0,-0.18195270530928093,3.4060819298486997,-108.8571428571429,-0.1428571428571428,0.0,0.1428571428571428,95.14285714285714
txn_velocity_delta_wk4_vs_wk3,float64,Change in transaction velocity between weeks indicating behavioral shifts or anomalies,994211,844,79567.0,0.06099800886584349,2.897245129016508,-71.85714285714286,-0.1428571428571428,0.0,0.2857142857142857,65.71428571428571
txn_velocity_accel_wk3,float64,Transaction velocity acceleration showing rapid behavior changes potentially linked to fraud,1021701,1218,52077.0,-0.5321433372012322,5.704401722166508,-211.0,-0.2857142857142857,0.0,0.2857142857142858,89.57142857142858
txn_velocity_accel_wk4,float64,Transaction velocity acceleration showing rapid behavior changes potentially linked to fraud,1023238,933,50540.0,-0.1358838826389281,4.39025847440576,-115.7142857142857,-0.2857142857142857,0.1428571428571427,0.4285714285714285,84.42857142857143
