feature	bin_edges
count_PESONET_OUT	"0,1"
count_PESONET_IN	"0 - <5,5 - <10,10+"
max_amount_PESONET_OUT	"0 - <200,200+"
min_amount_PESONET_OUT	"0 - <200,200+"
rank	"0,1"
txn_days_active_week_wk1	"0 - <2,2 - <5,5+"
txn_days_active_week_wk2	"0 - <2,2 - <5,5+"
txn_days_active_week_wk3	"0 - <2,2 - <5,5+"
txn_days_active_week_wk4	"0 - <2,2 - <5,5+"
change_email_occurence	"0 - <3,3+"
change_mob_num_occurence	"0 - <3,3+"
txn_days_active_30d	"0 - <6, 6 - <11, 11 - <16, 16 - <21, 21 - <26, 26+"
num_same_day_cico_days	"0 - <6, 6 - <11, 11 - <16, 16 - <21, 21+"
txn_days_active	"0 - <6, 6 - <11, 11 - <16, 16 - <21, 21+"
active_days_with_txns	"0 - <6, 6 - <11, 11 - <16, 16 - <21, 21+"
num_inflow_days	"0 - <6, 6 - <11, 11 - <16, 16 - <21, 21+"
min_txn_sessions_per_day_3min	"0 - <6, 6 - <11, 11 - <16, 16+"
min_txn_sessions_per_day_5min	"0 - <6, 6 - <11, 11 - <16, 16 - <21, 21+"
min_txn_count_day	"0 - <10, 10 - <20, 20 - <30, 30 - <40, 40 - <50, 50+"
max_txn_sessions_per_day_5min	"0 - <10, 10 - <20, 20 - <30, 30 - <40, 40 - <50, 50 - <60, 60 - <70, 70+"
max_txn_sessions_per_day_3min	"0 - <10, 10 - <20, 20 - <30, 30 - <40, 40 - <50, 50 - <60, 60 - <70, 70 - <80, 80+"
num_unique_source_names	"0 - <10, 10 - <20, 20 - <30, 30 - <40, 40 - <50, 50 - <60, 60 - <70, 70+"
num_unique_destination_accounts	"0 - <20, 20 - <40, 40 - <60, 60 - <80, 80+"
num_unique_destination_names	"0 - <20, 20 - <40, 40 - <60, 60 - <80, 80+"
percent_inflow_same_day_out	"0.0 - <0.2,0.2 - <0.4, 0.4 - <0.6, 0.6 - <0.8,8+"
top_source_share_in	"0.0 - <0.2,0.2 - <0.4, 0.4 - <0.6, 0.6 - <0.8,8+"
repeat_counterparty_ratio_in	"0.0 - <0.2,0.2 - <0.4, 0.4 - <0.6, 0.6 - <0.8,8+"
repeat_counterparty_ratio_out	"0.0 - <0.2,0.2 - <0.4, 0.4 - <0.6, 0.6 - <0.8,8+"
top_destination_share_out	"0.0 - <0.2,0.2 - <0.4, 0.4 - <0.6, 0.6 - <0.8,8+"
weekday_entropy	"0.0 - <0.5, 0.5 - <1.0, 1.0 - <1.5, 1.5 - <2.0, 2+"
hour_entropy	"0 - <2,2 - <4,4+"
source_entropy_in	"0 - <2,2 - <4,4 - <6,6+"
destination_entropy_out	"0 - <2,2 - <4,4 - <6,6 - <8,8 - <10,10+"
txn_count_vol_score_wk1	"0 - <5,5 - <10,10+"
txn_count_vol_score_wk2	"0 - <5,5 - <10,10+"
txn_count_vol_score_wk3	"0 - <5,5 - <10,10+"
txn_count_vol_score_wk4	"0 - <5,5 - <10,10+"
cv_time_btwn_txns	"0 - <5,5 - <10,10 - <15,15+"
max_time_btwn_txns_days	"0 - <5,5 - <10,10 - <15,15 - <20,20+"
avg_time_btwn_txns_days	"0 - <5,5 - <10,10 - <15,15 - <20,20+"
txn_velocity_30d	"0 - <5,5 - <10,10 - <15,15 - <20,20 - <25, 25 - <30, 30 - <35, 35 - <40,40+"
txn_velocity_week_wk1	"0 - <10, 10 - <20, 20 - <30, 30 - <40, 40 - <50, 50+"
txn_velocity_week_wk2	"0 - <10, 10 - <20, 20 - <30, 30 - <40, 40 - <50, 50+"
txn_velocity_week_wk3	"0 - <10, 10 - <20, 20 - <30, 30 - <40, 40 - <50, 50+"
txn_velocity_week_wk4	"0 - <10, 10 - <20, 20 - <30, 30 - <40, 40 - <50, 50+"
txn_velocity_delta_wk2_vs_wk1	"negative accel (<0), 0, positive accel (>0)"
txn_velocity_delta_wk3_vs_wk2	"negative accel (<0), 0, positive accel (>0)"
txn_velocity_delta_wk4_vs_wk3	"negative accel (<0), 0, positive accel (>0)"
txn_velocity_accel_wk3	"negative accel (<0), 0, positive accel (>0)"
txn_velocity_accel_wk4	"negative accel (<0), 0, positive accel (>0)"
txn_count_day_volatility_30d	"0 - <10, 10 - <20, 20 - <30, 30 - <40, 40 - <50, 50+"
max_txn_count_day	"0 - <20, 20 - <40, 40 - <60, 60 - <80, 80+"
txn_count_week_wk1	"0 - <50, 50 - <100, 100 - <150, 150 - <200, 200 - <250, 250 - <300, 300 - <350, 350+"
txn_count_week_wk2	"0 - <50, 50 - <100, 100 - <150, 150 - <200, 200 - <250, 250 - <300, 300 - <350, 350+"
txn_count_week_wk3	"0 - <50, 50 - <100, 100 - <150, 150 - <200, 200 - <250, 250 - <300, 300 - <350, 350+"
txn_count_week_wk4	"0 - <50, 50 - <100, 100 - <150, 150 - <200, 200 - <250, 250 - <300, 300 - <351, 350+"
weekend_txn_count	"0 - <50, 50 - <100, 100 - <150, 150 - <200, 200 - <250, 251 - <300, 300 - <350, 350+"
total_sources	"0 - <25,25 - <50,50 - <75,75 - <100,100 - <125,125 - <150,150 - <175,175+"
night_txn_count	"0 - <50, 50 - <100, 100 - <150, 150 - <200, 200 - <250, 250 - <300, 300 - <350, 350+"
count_INSTAPAY_IN	"0 - <100,100 - <200,200 - <300,300 - <400,400+"
count_INSTAPAY_OUT	"0 - <100,100 - <200,200 - <300,300 - <400,400 - <500,500 - <600,600 - <700,700 - <800,800+"
count_total_in	"0 - <50, 50 - <100, 100 - <150, 150 - <200, 200 - <250, 250+"
count_total_out	"0 - <150,150 - <300,301 - <450,450 - <600,600 - <750,750 - <900,900 - <1050,1050+"
txn_count_30d	"0 - <100,100 - <200,200 - <300,300 - <400,400 - <500,500 - <600,600 - <700,700 - <800,800+"
txn_amt_vol_score_wk1	"<1K,1K - <2K,2K - <3K,3K - <4K,4K - <5K,5K+"
txn_amt_vol_score_wk2	"0, 1 - <500, 500 - <1K, 1K - <1.5K, 1.5K+"
txn_amt_vol_score_wk3	"0,1 - <200,200 - <400,400 - <600,600+"
txn_amt_vol_score_wk4	"0,1 - <200,200 - <400,400 - <600,600+"
min_amount_INSTAPAY_IN	"0,1 - <5K,5K - <10K,10K - <15K,15K - <20K,20K - <25K,25K - <30K,30K - <35K,35K - <40K,40K - <45K,45K+"
min_amount_INSTAPAY_OUT	"0,1 - <5K,5K - <10K,10K - <15K,15K - <20K,20K - <25K,25K - <30K,30K - <35K,35K - <40K,40K - <45K,45K+"
max_amount_INSTAPAY_IN	"0,1 - <5K,5K - <10K,10K - <15K,15K - <20K,20K - <25K,25K - <30K,30K - <35K,35K - <40K,40K - <45K,45K+"
max_amount_INSTAPAY_OUT	"0,1 - <5K,5K - <10K,10K - <15K,15K - <20K,20K - <25K,25K - <30K,30K - <35K,35K - <40K,40K - <45K,45K+"
avg_amt_out_day	"0,1 - <10K,10K - <20K,20K - <30K,30K - <40K,40K+"
amt_to_destination	"0,1 - <50K,50K - <100K,100K - <150K,150K+"
amount_INSTAPAY_OUT	"0K - <100K,100K - <200K,200K - <300K,300K - <400K,400K - <500K,500K+"
total_out	"0 - <100K,100K - <200K,200K - <300K,300K - <400K,400K - <500K,500K - <600K,600K - <700K,700K - <800K,800K - <900K,900K - <1M,1M+"
total_amount_out	"0K - <100K,100K - <200K,200K - <300K,300K - <400K,400K - <500K,500K+"
min_amount_PESONET_IN	"0,1 - <10K,10K - <20K,20K - <30K,30K - <40K,40K+"
min_txn_amt_day	"0,1 - <25K,25K - <50K,50K - <75K,75K - <100K,100K+"
txn_amt_week_wk1	"0,1 - <50K,50K - <100K,100K - <150K,150K - <200K,200K - <250K,250K - <300K,300K - <350K,350K - <400K,400K - <450K,450K - <500K,500K+"
txn_amt_week_wk2	"0,1 - <50K,50K - <100K,100K - <150K,150K - <200K,200K - <250K,250K - <300K,300K - <350K,350K - <400K,400K - <450K,450K - <500K,500K+"
txn_amt_week_wk3	"0,1 - <50K,50K - <100K,100K - <150K,150K - <200K,200K - <250K,250K - <300K,300K - <350K,350K - <400K,400K - <450K,450K - <500K,500K+"
txn_amt_week_wk4	"0,1 - <50K,50K - <100K,100K - <150K,150K - <200K,200K - <250K,250K - <300K,300K - <350K,350K - <400K,400K - <450K,450K - <500K,500K+"
avg_amt_in_day	"0,1 - <50K,50K - <100K,100K - <150K,150K - <200K,200K - <250K,250K - <300K,300K - <350K,350K - <400K,400K - <450K,450K - <500K,500K+"
