,change_email_occurence,change_mob_num_occurence,txn_count_week_wk1,txn_amt_week_wk1,txn_velocity_week_wk1,txn_days_active_week_wk1,txn_count_week_wk2,txn_amt_week_wk2,txn_velocity_week_wk2,txn_days_active_week_wk2,txn_count_week_wk3,txn_amt_week_wk3,txn_velocity_week_wk3,txn_days_active_week_wk3,txn_count_week_wk4,txn_amt_week_wk4,txn_velocity_week_wk4,txn_days_active_week_wk4,txn_velocity_delta_wk2_vs_wk1,txn_velocity_delta_wk3_vs_wk2,txn_velocity_delta_wk4_vs_wk3,txn_velocity_accel_wk3,txn_count_30d,txn_amt_30d,txn_velocity_30d,txn_days_active_30d,txn_count_day_volatility_30d,txn_amt_day_volatility_30d,txn_amt_vol_score_wk1,txn_amt_vol_score_wk2,txn_amt_vol_score_wk3,txn_amt_vol_score_wk4,max_txn_count_day,min_txn_count_day,max_txn_amt_day,min_txn_amt_day,avg_amt_in_day,avg_amt_out_day,avg_net_flow_amt_day,avg_inflow_outflow_ratio_day,num_same_day_cico_days,num_inflow_days,percent_inflow_same_day_out,count_INSTAPAY_IN,count_INSTAPAY_OUT,count_total_in,count_total_out,amount_INSTAPAY_IN,amount_INSTAPAY_OUT,amount_PESONET_OUT,total_amount_in,total_amount_out,max_amount_INSTAPAY_IN,max_amount_INSTAPAY_OUT,min_amount_INSTAPAY_IN,min_amount_INSTAPAY_OUT,weekend_txn_count,night_txn_count,hour_entropy,weekday_entropy,max_time_btwn_txns_days,avg_time_btwn_txns_days,cv_time_btwn_txns,max_txn_sessions_per_day_3min,num_unique_source_accounts,num_unique_source_names,num_unique_destination_accounts,num_unique_destination_names,repeat_counterparty_ratio_in,repeat_counterparty_ratio_out,amt_from_source,total_in,top_source_share_in,amt_to_destination,total_out,top_destination_share_out,source_entropy_in,destination_entropy_out,fraud_status
change_email_occurence,1.0,0.2597810249339375,0.015038779786350528,0.012597203154659594,0.015038779786350523,0.019984992432088792,0.017855235250260542,0.024489208670916782,0.01785523525026101,0.03991844519768292,0.021674614992626923,0.028102129787026642,0.02167461499262673,0.04220003798522282,0.02168846575137895,0.023748087302649414,0.021688465751379327,0.03716400014214619,0.0042481052738648625,-0.0016898746572666166,0.001765020987007273,-0.004445319423506458,0.02358958304227285,0.028388412462437874,0.02358958304227288,0.04407148548746235,0.03890258551796779,0.023888302570698634,-0.0003030605631717921,0.008087511213808579,0.0021095103827180398,0.0008423338244213308,0.038817359511801215,0.042861250948705014,0.03562024101118004,0.038442523882309974,0.03412215642377153,0.05515500685601525,0.021458755533138456,0.010416819709245078,0.04981899940924234,0.04699585983404994,0.06521160283892105,0.030669221471624993,0.01944690357451334,0.030916092960586825,0.019446899241095907,0.025458839627886917,0.03069204432832842,-0.00012661523383063794,0.025039298607565406,0.030692038904750956,0.049102059231786815,0.05081013168498093,0.028061871697353562,0.025256556991949616,0.020807220104785557,0.022083934218626755,0.05384247149057357,0.04518019517063592,0.017797674895080558,0.004184006047264222,0.06105263167488861,0.03992375246331463,0.03637325089497818,0.03573109116932008,0.014733092268739808,0.015008495093321082,0.02402909892502003,0.03477975757159252,0.019176453122079277,0.025039298607565406,0.013190873804081934,0.033061519459358375,0.03069203890475095,0.031177948017421037,0.06639814162864187,0.04046462569866203,0.16025704876004052
change_mob_num_occurence,0.2597810249339375,1.0,0.0021852669842964676,0.0060537107474234785,0.0021852669842964225,0.018020768464146318,0.006038740886839633,0.016438586468193937,0.006038740886839644,0.03262737744320868,0.01491930435989941,0.02287924087467741,0.01491930435990022,0.037204496972044976,0.018403547912317252,0.02203809011692141,0.018403547912318734,0.036765383439700795,0.0018074530172205905,0.0028649399623898153,0.002073603614950567,-0.00018649264399515998,0.012101125892152417,0.02121245409555191,0.01210112589215252,0.03958165996455014,0.03055799361531577,0.022026800300846704,-0.00038525094418873025,0.00664546640810406,0.002644855488752749,0.0018293452197365708,0.028686032477675243,0.03688265315672678,0.03147987861144427,0.03389799087542995,0.03016138203189535,0.04795398610381824,0.019185786336963283,0.008233904408558776,0.039096891002341115,0.039738308500845226,0.06082562677453473,0.026804714476581,0.0078565889988347,0.026956010889143008,0.007856583596657253,0.019662719142138105,0.021670894033930636,-0.00015749822812861566,0.019147548393509684,0.02167088722183249,0.045558087334622036,0.046358241247044796,0.026003203055646965,0.022646573140450342,0.010816812865904054,0.013370231413454949,0.05156514428999006,0.044397808118206636,0.020932063872611303,0.008507755310302907,0.05422066235906301,0.03003113283624691,0.0319420925398595,0.03136175578931697,0.0029169237392109243,0.0031159052820884407,0.02250329392243912,0.037598060237200304,0.015609490292657307,0.019147548393509684,0.019775592690447676,0.029456328797212276,0.02167088722183249,0.037623609272002256,0.0600370417674765,0.0296539877248647,0.14206153524803386
txn_count_week_wk1,0.015038779786350528,0.0021852669842964676,1.0,0.5519510658088441,1.0000000000000175,0.3899853114224454,0.8092628665396324,0.6297208427328835,0.8092628665396122,0.420254232558046,0.4389437461254879,0.31042616049927413,0.43894374612547965,0.2111626111978011,0.1430744267097585,0.07845942860786795,0.1430744267097618,0.06271013843699805,-0.02107680800174833,-0.43051491328374125,-0.16235351817121757,-0.35693527554407434,0.7978728048324446,0.5308774586509245,0.7978728048324577,0.34270654446085724,0.7198241196406703,0.16296490448491677,0.003376342849112565,-0.0006010926255748343,-0.0010869255523279359,-0.000847830703308297,0.7808823205547923,0.4520938950355931,0.26769713031147374,0.13208252376918145,0.2127439975616499,0.38111570431060204,0.12363409993728969,0.009527928331930407,0.562390688327894,0.36078379336619654,0.39739085207737596,0.3605977657907719,0.7886633576843982,0.360282518134984,0.7886633638195478,0.46560239665966835,0.6560212328438518,0.0001621038012597889,0.43980955277122535,0.6560212425526635,0.27894014564199443,0.21237210509512525,0.136002125115517,0.0048102024740648425,0.7293150051540152,0.7547476738651004,0.29916659826872316,0.2389013487342083,0.036515982289962466,-0.0014869533106667443,0.4485076697425669,0.7351908312722112,0.40129652680757294,0.40378408649314723,0.8225485222862734,0.8095356230591414,0.060278080658965845,0.027911455252883396,0.2035361357575019,0.43980955277122535,0.03620126740879361,0.3064777730113246,0.6560212425526635,0.039968517640319556,0.422968331003848,0.6482799765931008,0.41000589026673845
txn_amt_week_wk1,0.012597203154659594,0.0060537107474234785,0.5519510658088441,1.0,0.5519510658088215,0.33955056825122865,0.4316603905480179,0.587512873618591,0.4316603905480098,0.3182078222813074,0.20917817915127412,0.3702677613872224,0.20917817915127662,0.18859120179511,0.08043631642935144,0.21043612838748815,0.08043631642935446,0.10532750421293298,-0.03567667613747634,-0.2589655577390859,-0.03102684378895611,-0.19183822275221904,0.42486974171366326,0.7411787400569189,0.4248697417136572,0.3026229204934205,0.3998598223653407,0.6981283820253009,0.016881228188567996,0.0005767285840254399,-0.00046811479837946985,-0.0004664783500854739,0.43694342727272634,0.2724081281913446,0.7674480352377385,0.2659196477414064,0.6807542886363027,0.38508352462604895,0.6232103640129156,0.49829668403747734,0.43399995023751575,0.3423264589178381,0.2917225369409496,0.4188333987863639,0.37621665179555314,0.42090676803664634,0.37621667128229486,0.633692699975228,0.5218288966470119,0.0005596245821954478,0.7505910942901677,0.5218289232331963,0.3788984179362783,0.32554560318308373,0.182930311280474,0.08591211062839532,0.38900890772133556,0.40289959163158356,0.251934818990587,0.21329099202557833,0.05545237583622868,0.005871621823204256,0.3405131331859969,0.4189362967612313,0.3735179846102626,0.3728291990728804,0.392464897789326,0.39538830503783434,0.0910251259773341,0.05020705283527971,0.5651249993632125,0.7505910942901677,0.04072841204375854,0.3184975590594241,0.5218289232331964,0.05291298912278771,0.3596269540629446,0.40542030979407156,0.25552713960061807
txn_velocity_week_wk1,0.015038779786350523,0.0021852669842964225,1.0000000000000175,0.5519510658088215,1.0,0.3899853114224363,0.8092628665396019,0.6297208427328658,0.8092628665396316,0.4202542325580485,0.4389437461254725,0.31042616049927046,0.43894374612548476,0.21116261119780125,0.143074426709758,0.07845942860786846,0.14307442670975704,0.06271013843700052,-0.02107680800174686,-0.4305149132837358,-0.16235351817120958,-0.3569352755440592,0.7978728048324383,0.5308774586509166,0.7978728048324566,0.3427065444608651,0.7198241196406493,0.16296490448491308,0.00337634284911256,-0.0006010926255748029,-0.0010869255523279038,-0.0008478307033082586,0.7808823205548067,0.4520938950355776,0.2676971303114747,0.13208252376918456,0.2127439975616439,0.3811157043105876,0.12363409993729084,0.00952792833193015,0.5623906883278654,0.3607837933661825,0.39739085207735547,0.3605977657907787,0.7886633576844291,0.36028251813497886,0.7886633638195384,0.4656023966596607,0.6560212328438831,0.00016210380125979078,0.4398095527712274,0.6560212425526727,0.2789401456419959,0.21237210509512613,0.1360021251155133,0.00481020247406471,0.7293150051539838,0.7547476738650769,0.29916659826872394,0.23890134873420799,0.036515982289961404,-0.0014869533106667298,0.4485076697425787,0.7351908312721747,0.40129652680756583,0.4037840864931393,0.8225485222862673,0.8095356230591189,0.060278080658965984,0.027911455252882283,0.2035361357575038,0.4398095527712274,0.03620126740879267,0.3064777730113353,0.6560212425526727,0.039968517640318536,0.42296833100383824,0.648279976593054,0.41000589026673984
txn_days_active_week_wk1,0.019984992432088792,0.018020768464146318,0.3899853114224454,0.33955056825122865,0.3899853114224363,1.0,0.2998872203131074,0.3074133398603159,0.2998872203130998,0.5378593256148885,0.1848715035136606,0.20037502144602828,0.184871503513663,0.4076272810932765,0.11328058781709495,0.1355276704514583,0.11328058781710003,0.33961079221064394,0.010404866310386781,-0.12730015791237959,-0.05674182094831897,-0.1164403358298333,0.32354510194473957,0.3294392431038483,0.3235451019447333,0.7356585557566317,0.30496475900113335,0.17863486203341558,0.035460063364269066,0.0012658945026566026,-0.004280672008599908,-0.0010922862194695183,0.3517572063531743,0.3357169549098425,0.2469330503889834,0.07463426800940479,0.1911105655408597,0.28161895961647126,0.12762966379639948,0.03525249856938339,0.4884675629995614,0.6886759971555024,0.4407500661565764,0.373616725794288,0.2760908791870417,0.3749993388977079,0.27609096503236,0.30713821019377147,0.3396498697129302,0.002494357214240324,0.2962991604487763,0.3396499803141601,0.41443259081842077,0.3141912357197625,0.14016588429815363,0.08680285221929171,0.3003674925503826,0.3159542996301615,0.6757374166018087,0.6579720082461118,0.4095357915014972,0.2517278192873515,0.5226515467449411,0.39639317598762513,0.3298107963429773,0.3244610976401429,0.2715395119668766,0.2701105993465566,0.397578677325959,0.2995431303363635,0.23366658523009237,0.2962991604487763,0.48953289463491334,0.25085931476316314,0.3396499803141601,0.4030623994197167,0.5497557094475529,0.5050302139066942,0.1683040549198276
txn_count_week_wk2,0.017855235250260542,0.006038740886839633,0.8092628665396324,0.4316603905480179,0.8092628665396019,0.2998872203131074,1.0,0.6839135509555448,0.9999999999999866,0.4724629178293618,0.6445731987210038,0.3855283909028619,0.6445731987209987,0.26905903467353887,0.24530876442067592,0.11178390455369054,0.24530876442067467,0.08698745946875638,0.5058352950071173,-0.4748873938290509,-0.2931809828565264,-0.6618818872411029,0.8971565029607899,0.5364098605375214,0.8971565029608318,0.35386414602232374,0.762129921561987,0.15685652345368956,0.0030204333162057845,0.002181006106791219,-0.0008241451281754382,-0.0007036633431065048,0.8230905425700021,0.42442303577844975,0.2572327933595291,0.11175961934268787,0.19602418015594147,0.3782915639554362,0.10651821030489629,0.00012040845825904344,0.5696117286441031,0.35670835051831423,0.39649951381619936,0.3873979454974348,0.8902706893841588,0.38694874179105626,0.8902706891439148,0.4622506816020733,0.6858458792602637,-2.5708449508977172e-05,0.436426885818266,0.6858458808616733,0.2674880986704642,0.2020805420990166,0.12313839149092465,0.0008290576254958001,0.8272175061361406,0.835676794343962,0.29272151053361495,0.2318367336578253,0.019188568474273082,-0.010906485259169617,0.4571663807898397,0.7748223696879082,0.43542607097004027,0.43823510887006806,0.91984641800349,0.9117841013594833,0.049339482900393854,0.024864211734542455,0.19962820319151206,0.436426885818266,0.013874089338953585,0.33581800606752243,0.6858458808616735,0.030126443447434245,0.42503432829703497,0.6530007118232682,0.43153678913865995
txn_amt_week_wk2,0.024489208670916782,0.016438586468193937,0.6297208427328835,0.587512873618591,0.6297208427328658,0.3074133398603159,0.6839135509555448,1.0,0.6839135509555408,0.4898924742213421,0.3898449852284396,0.6185693220558279,0.3898449852284274,0.2894970730574979,0.15957560241393878,0.3300869620621369,0.1595756024139431,0.1535091328577087,0.22679952120926658,-0.3878298666795151,-0.07856501070383679,-0.4285880877286755,0.6203653183130321,0.8357095520306314,0.6203653183130523,0.3906583739289544,0.5548317124585083,0.2978587161059583,0.015451595270822262,0.008703788823713943,-0.0005182052790840477,-0.0004575863489931564,0.603459937149458,0.3196196811976738,0.4618227564975177,0.1976227668825728,0.38457538914524625,0.47900349827786703,0.28075309335189946,0.06493535047107228,0.6093023636102814,0.449509283015196,0.38364682247934956,0.5716107665875421,0.557285393556607,0.5729034311235853,0.5572853907413811,0.8133852823427242,0.7460505342186525,-9.370331731030971e-05,0.7916862671467881,0.7460505330813617,0.41483217543269424,0.3836296540354127,0.17139829119980657,0.07039589437792376,0.559431223338389,0.5911649489535472,0.30441556554648624,0.2562330612246292,0.039215280359636576,-0.005667060812478954,0.4147513042468821,0.5815991779158776,0.5354834852431175,0.5352994526730744,0.589269705140147,0.5930114359301576,0.0869389902117563,0.05546767464870931,0.515415699844485,0.7916862671467881,0.0281704816654231,0.42933734804513807,0.7460505330813617,0.048459828735412144,0.4622066691202958,0.5470226178316672,0.3688865064742234
txn_velocity_week_wk2,0.01785523525026101,0.006038740886839644,0.8092628665396122,0.4316603905480098,0.8092628665396316,0.2998872203130998,0.9999999999999866,0.6839135509555408,1.0,0.47246291782935773,0.6445731987209967,0.3855283909028512,0.6445731987210209,0.2690590346735519,0.2453087644206715,0.11178390455369268,0.2453087644206808,0.08698745946875695,0.5058352950071113,-0.47488739382906964,-0.29318098285651956,-0.6618818872411012,0.8971565029608027,0.5364098605375227,0.8971565029608091,0.35386414602234895,0.7621299215619962,0.15685652345369383,0.0030204333162058257,0.002181006106791199,-0.0008241451281754341,-0.0007036633431065239,0.8230905425700352,0.4244230357784507,0.25723279335953925,0.11175961934269471,0.1960241801559444,0.37829156395544683,0.10651821030489532,0.00012040845825904761,0.5696117286440943,0.35670835051829647,0.3964995138161953,0.3873979454974319,0.8902706893841513,0.3869487417910383,0.8902706891439225,0.4622506816020646,0.6858458792602479,-2.5708449508975332e-05,0.43642688581830086,0.6858458808616649,0.2674880986704645,0.2020805420990162,0.12313839149092215,0.000829057625495782,0.8272175061361368,0.8356767943439743,0.2927215105336219,0.23183673365782648,0.01918856847427269,-0.010906485259169322,0.45716638078985683,0.7748223696879322,0.43542607097004976,0.4382351088700609,0.9198464180034757,0.9117841013595072,0.04933948290039351,0.024864211734542528,0.19962820319151178,0.43642688581830086,0.013874089338953564,0.33581800606752127,0.6858458808616649,0.030126443447432896,0.4250343282970483,0.6530007118232459,0.4315367891386582
txn_days_active_week_wk2,0.03991844519768292,0.03262737744320868,0.420254232558046,0.3182078222813074,0.4202542325580485,0.5378593256148885,0.4724629178293618,0.4898924742213421,0.47246291782935773,1.0,0.30486506565206023,0.3114249645653442,0.30486506565205784,0.5703213941356494,0.1790154386870181,0.20140664956024804,0.17901543868703196,0.46133022601611323,0.1548625270248166,-0.20655185798783113,-0.09294563546456214,-0.2553790304275522,0.4516521697651231,0.43545144096425015,0.45165216976512296,0.812549600250134,0.4136713007448101,0.20044964484773894,0.016114516207222283,0.05124464181859205,0.00024733997775313384,0.001476371533987269,0.4512350098003196,0.28436484443542015,0.2891241491913305,0.06561935657148861,0.2084841478441999,0.3319117174712876,0.13249766921918799,0.01451624709144774,0.6377337363975266,0.750396620466574,0.5206569400704221,0.4603154334406574,0.3972024630517041,0.4617309598167364,0.39720250748514185,0.4009353382946787,0.4695912942878336,0.0012857323710814448,0.38449348669001226,0.4695913524691221,0.45397437079851205,0.363157736966931,0.13717206640463864,0.06172337263584328,0.41407266549112776,0.43341684715859524,0.7207319190604027,0.6870349868136794,0.2940454853197266,0.15453377010323918,0.5506948571638663,0.4937688936276639,0.40346497645423224,0.39859217644294737,0.39156089827351054,0.39014932696368854,0.38486034951010895,0.3303735647186708,0.28033007954076705,0.38449348669001226,0.26486037052935585,0.3303781368143184,0.4695913524691221,0.3408073852045602,0.6176627415705996,0.6335858873087443,0.2669711315833471
