count_PESONET_OUT	Category	CONFIRMED_FRAUD	NON_FRAUD	Grand Total	Share	PercentBad	PercentGood	WoE	IV
0	8184	485004	493188	1.0	1.0	1.0	-0.0	0.0
Other	0	1	1	0.0	0.0	0.0	0.72	0.0
Grand Total	8184	485005	493189	1.0	1.0	1.0	0.0	0.0

count_PESONET_IN	Category	CONFIRMED_FRAUD	NON_FRAUD	Grand Total	Share	PercentBad	PercentGood	WoE	IV
0 - <5	8173	484778	492951	0.9995	0.9987	0.9995	0.0	0.0
10+	3	37	40	0.0001	0.0004	0.0001	-1.57	0.0
5 - <10	8	190	198	0.0004	0.001	0.0004	-0.91	0.0
Grand Total	8184	485005	493189	1.0	1.0	1.0	0.0	0.0

max_amount_PESONET_OUT	Category	CONFIRMED_FRAUD	NON_FRAUD	Grand Total	Share	PercentBad	PercentGood	WoE	IV
0 - <200	8184	485004	493188	1.0	1.0	1.0	-0.0	0.0
200+	0	1	1	0.0	0.0	0.0	0.72	0.0
Grand Total	8184	485005	493189	1.0	1.0	1.0	0.0	0.0

min_amount_PESONET_OUT	Category	CONFIRMED_FRAUD	NON_FRAUD	Grand Total	Share	PercentBad	PercentGood	WoE	IV
0 - <200	8184	485004	493188	1.0	1.0	1.0	-0.0	0.0
200+	0	1	1	0.0	0.0	0.0	0.72	0.0
Grand Total	8184	485005	493189	1.0	1.0	1.0	0.0	0.0

rank	Category	CONFIRMED_FRAUD	NON_FRAUD	Grand Total	Share	PercentBad	PercentGood	WoE	IV
0	3033	322646	325679	0.6604	0.3706	0.6652	0.59	0.17
Other	5151	162359	167510	0.3396	0.6294	0.3348	-0.63	0.19
Grand Total	8184	485005	493189	1.0	1.0	1.0	0.0	0.36

txn_days_active_week_wk1	Category	CONFIRMED_FRAUD	NON_FRAUD	Grand Total	Share	PercentBad	PercentGood	WoE	IV
0 - <2	5368	445634	451002	0.9145	0.6559	0.9188	0.34	0.09
2 - <5	1405	36305	37710	0.0765	0.1717	0.0749	-0.83	0.08
5+	1411	3066	4477	0.0091	0.1724	0.0063	-3.31	0.55
Grand Total	8184	485005	493189	1.0	1.0	1.0	0.0	0.72

txn_days_active_week_wk2	Category	CONFIRMED_FRAUD	NON_FRAUD	Grand Total	Share	PercentBad	PercentGood	WoE	IV
0 - <2	5198	459740	464938	0.9427	0.6351	0.9479	0.4	0.13
2 - <5	1081	22731	23812	0.0483	0.1321	0.0469	-1.04	0.09
5+	1905	2534	4439	0.009	0.2328	0.0052	-3.8	0.86
Grand Total	8184	485005	493189	1.0	1.0	1.0	0.0	1.08

txn_days_active_week_wk3	Category	CONFIRMED_FRAUD	NON_FRAUD	Grand Total	Share	PercentBad	PercentGood	WoE	IV
0 - <2	5912	460060	465972	0.9448	0.7224	0.9486	0.27	0.06
2 - <5	1243	22297	23540	0.0477	0.1519	0.046	-1.2	0.13
5+	1029	2648	3677	0.0075	0.1257	0.0055	-3.14	0.38
Grand Total	8184	485005	493189	1.0	1.0	1.0	0.0	0.57

txn_days_active_week_wk4	Category	CONFIRMED_FRAUD	NON_FRAUD	Grand Total	Share	PercentBad	PercentGood	WoE	IV
0 - <2	6595	453774	460369	0.9335	0.8058	0.9356	0.15	0.02
2 - <5	863	26308	27171	0.0551	0.1054	0.0542	-0.66	0.03
5+	726	4923	5649	0.0115	0.0887	0.0102	-2.17	0.17
Grand Total	8184	485005	493189	1.0	1.0	1.0	0.0	0.22

change_email_occurence	Category	CONFIRMED_FRAUD	NON_FRAUD	Grand Total	Share	PercentBad	PercentGood	WoE	IV
0 - <3	8112	484905	493017	0.9997	0.9912	0.9998	0.01	0.0
