threshold,precision (%),alerts/day,TP/day,FP/day,TP/day to FP/day (%),Cost_FP/day (₱),Total_Cost/day (₱)
0.0,1.6,7397.8,119.8,7278.0,1.6,1091700,1091700
0.05,1.9,5770.0,111.8,5658.2,2.0,848737,848737
0.1,2.2,4854.4,107.4,4747.0,2.3,712057,712057
0.15000000000000002,3.9,2588.0,99.9,2488.0,4.0,373207,373207
0.2,3.9,2505.6,98.4,2407.2,4.1,361080,361080
0.25,4.2,2294.0,96.8,2197.3,4.4,329587,329587
0.30000000000000004,4.9,1898.7,93.4,1805.3,5.2,270795,270795
0.35000000000000003,4.9,1888.1,92.8,1795.2,5.2,269287,269287
0.4,4.9,1875.6,92.6,1783.0,5.2,267457,267457
0.45,4.9,1864.8,92.0,1772.8,5.2,265920,265920
0.5,53.0,125.4,66.6,58.9,113.0,8835,8835
0.55,55.2,119.4,65.9,53.5,123.2,8025,8025
0.6000000000000001,56.6,115.2,65.2,50.0,130.5,7500,7500
0.65,58.4,110.5,64.6,46.0,140.5,6892,6892
0.7000000000000001,63.8,99.4,63.4,36.0,175.9,5407,5407
0.75,64.7,96.6,62.5,34.2,183.0,5122,5122
0.8,65.9,93.8,61.8,32.0,193.4,4792,4792
0.8500000000000001,77.4,77.6,60.0,17.5,342.2,2632,2632
0.9,79.0,73.7,58.2,15.5,375.5,2325,2325
0.9500000000000001,90.9,58.2,52.8,5.3,997.2,795,795
1.0,0.0,0.0,0.0,0.0,inf,0,0
