mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__subsample,param_classifier__reg_lambda,param_classifier__reg_alpha,param_classifier__n_estimators,param_classifier__max_depth,param_classifier__learning_rate,param_classifier__gamma,param_classifier__colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
50.981717920303346,0.49748335544936406,1.08948712348938,0.17553605139554557,0.9,0.1,0.001,500,3,0.01,0.3,1.0,"{'classifier__subsample': 0.9, 'classifier__reg_lambda': 0.1, 'classifier__reg_alpha': 0.001, 'classifier__n_estimators': 500, 'classifier__max_depth': 3, 'classifier__learning_rate': 0.01, 'classifier__gamma': 0.3, 'classifier__colsample_bytree': 1.0}",0.5566498126431749,0.5728786019568316,0.5642381063930453,0.5716886230563721,0.5473738535586875,0.5625657995216222,0.009572570568794415,17
57.44244465827942,2.5546257257438167,2.378044366836548,0.22424529310249153,0.6,0.1,0.001,300,9,0.05,0.2,0.6,"{'classifier__subsample': 0.6, 'classifier__reg_lambda': 0.1, 'classifier__reg_alpha': 0.001, 'classifier__n_estimators': 300, 'classifier__max_depth': 9, 'classifier__learning_rate': 0.05, 'classifier__gamma': 0.2, 'classifier__colsample_bytree': 0.6}",0.550570250105091,0.5638523195728501,0.5654941736467853,0.5643059869254661,0.5306622571162767,0.5549769974732939,0.013319447452730098,30
19.14980878829956,0.5041001966966348,0.7569785594940186,0.11129092256096315,0.6,0.0,0.1,100,7,0.01,0.0,0.6,"{'classifier__subsample': 0.6, 'classifier__reg_lambda': 0, 'classifier__reg_alpha': 0.1, 'classifier__n_estimators': 100, 'classifier__max_depth': 7, 'classifier__learning_rate': 0.01, 'classifier__gamma': 0, 'classifier__colsample_bytree': 0.6}",0.5504219661800617,0.5682444044411991,0.5638600779621715,0.5670203939815244,0.5369865548851268,0.5573066794900168,0.011977010054129603,29
46.019382905960086,0.7660636266195008,1.7146184921264649,0.11027919676456863,1.0,0.01,0.0,200,9,0.01,0.0,1.0,"{'classifier__subsample': 1.0, 'classifier__reg_lambda': 0.01, 'classifier__reg_alpha': 0, 'classifier__n_estimators': 200, 'classifier__max_depth': 9, 'classifier__learning_rate': 0.01, 'classifier__gamma': 0, 'classifier__colsample_bytree': 1.0}",0.5332443249193992,0.5636273371371291,0.5485168878628272,0.5497585347610852,0.5210702842516023,0.5432434737864086,0.014679169682492454,42
53.7937997341156,1.0529520536123786,2.475581741333008,0.08434874435714815,1.0,0.1,0.001,400,9,0.1,0.2,1.0,"{'classifier__subsample': 1.0, 'classifier__reg_lambda': 0.1, 'classifier__reg_alpha': 0.001, 'classifier__n_estimators': 400, 'classifier__max_depth': 9, 'classifier__learning_rate': 0.1, 'classifier__gamma': 0.2, 'classifier__colsample_bytree': 1.0}",0.5288711629187853,0.5554607490666379,0.548439818615608,0.547708774975262,0.5140326730953658,0.5389026357343318,0.015243507150781694,44
88.79962034225464,1.2309398958470374,2.9852208614349367,0.11935669069200451,0.9,0.001,0.001,400,9,0.01,0.1,1.0,"{'classifier__subsample': 0.9, 'classifier__reg_lambda': 0.001, 'classifier__reg_alpha': 0.001, 'classifier__n_estimators': 400, 'classifier__max_depth': 9, 'classifier__learning_rate': 0.01, 'classifier__gamma': 0.1, 'classifier__colsample_bytree': 1.0}",0.5471682188983608,0.5697738604653224,0.5606080725023281,0.560057810484347,0.5309863951064674,0.5537188714913651,0.013454236812723775,32
14.804220342636109,0.09073752805486057,0.47255468368530273,0.01897453219340434,0.6,0.0,0.001,100,3,0.01,0.0,0.9,"{'classifier__subsample': 0.6, 'classifier__reg_lambda': 0, 'classifier__reg_alpha': 0.001, 'classifier__n_estimators': 100, 'classifier__max_depth': 3, 'classifier__learning_rate': 0.01, 'classifier__gamma': 0, 'classifier__colsample_bytree': 0.9}",0.5021263504681829,0.5202307276891369,0.5086489528812203,0.5247068980067683,0.4985151471871201,0.5108456152464856,0.010130220547509073,49
26.536463594436647,0.22057443643943328,0.7817087650299073,0.035084169412020284,0.7,0.001,0.0,200,5,0.1,0.0,0.8,"{'classifier__subsample': 0.7, 'classifier__reg_lambda': 0.001, 'classifier__reg_alpha': 0, 'classifier__n_estimators': 200, 'classifier__max_depth': 5, 'classifier__learning_rate': 0.1, 'classifier__gamma': 0, 'classifier__colsample_bytree': 0.8}",0.5701363523213401,0.5813357108776447,0.5794340743260443,0.5768997408997006,0.554586704439082,0.5724785165727624,0.009715756007335142,8
80.52631855010986,0.8772986673913783,2.8068957805633543,0.04774882781459341,0.6,0.001,0.001,400,9,0.2,0.0,0.6,"{'classifier__subsample': 0.6, 'classifier__reg_lambda': 0.001, 'classifier__reg_alpha': 0.001, 'classifier__n_estimators': 400, 'classifier__max_depth': 9, 'classifier__learning_rate': 0.2, 'classifier__gamma': 0, 'classifier__colsample_bytree': 0.6}",0.5234492835072431,0.5479685794700881,0.5427901858675884,0.5418608439668569,0.5105611111198558,0.5333260007863265,0.014089777880550897,47
65.31041226387023,0.6067578118858218,1.482637310028076,0.08472466834302406,0.7,0.001,0.1,500,5,0.2,0.0,0.9,"{'classifier__subsample': 0.7, 'classifier__reg_lambda': 0.001, 'classifier__reg_alpha': 0.1, 'classifier__n_estimators': 500, 'classifier__max_depth': 5, 'classifier__learning_rate': 0.2, 'classifier__gamma': 0, 'classifier__colsample_bytree': 0.9}",0.5406509453716726,0.5648742742516626,0.5616270518297846,0.5591205972119805,0.5321866351794676,0.5516919007689135,0.012884299048709904,35
34.251639652252194,0.8692617411914778,0.9301124095916748,0.07876174446531127,1.0,0.01,0.1,500,3,0.2,0.1,0.7,"{'classifier__subsample': 1.0, 'classifier__reg_lambda': 0.01, 'classifier__reg_alpha': 0.1, 'classifier__n_estimators': 500, 'classifier__max_depth': 3, 'classifier__learning_rate': 0.2, 'classifier__gamma': 0.1, 'classifier__colsample_bytree': 0.7}",0.5689010341719705,0.5834700728583228,0.5784691854915325,0.5724415929733477,0.5538996163291106,0.5714363003648568,0.010092042692107379,11
58.593367958068846,0.6217377274366468,1.7716663837432862,0.0922569195253839,0.9,0.1,0.01,400,7,0.1,0.1,0.9,"{'classifier__subsample': 0.9, 'classifier__reg_lambda': 0.1, 'classifier__reg_alpha': 0.01, 'classifier__n_estimators': 400, 'classifier__max_depth': 7, 'classifier__learning_rate': 0.1, 'classifier__gamma': 0.1, 'classifier__colsample_bytree': 0.9}",0.5440626274250744,0.5626267664388356,0.5505033808074412,0.5595371116627675,0.5238637522062091,0.5481187277080656,0.013793513232358319,37
61.09906945228577,0.5883202853561152,1.4596988201141357,0.04303758452342933,0.8,0.001,0.0,500,5,0.1,0.1,1.0,"{'classifier__subsample': 0.8, 'classifier__reg_lambda': 0.001, 'classifier__reg_alpha': 0, 'classifier__n_estimators': 500, 'classifier__max_depth': 5, 'classifier__learning_rate': 0.1, 'classifier__gamma': 0.1, 'classifier__colsample_bytree': 1.0}",0.5572540431792037,0.5717061713243773,0.5692697427590792,0.5718560290585772,0.5415518411310624,0.5623275654904598,0.011698846454983,19
54.555797243118285,0.6551898730732851,2.1498191356658936,0.1299559705595807,1.0,0.0,0.0,500,9,0.1,0.3,1.0,"{'classifier__subsample': 1.0, 'classifier__reg_lambda': 0, 'classifier__reg_alpha': 0, 'classifier__n_estimators': 500, 'classifier__max_depth': 9, 'classifier__learning_rate': 0.1, 'classifier__gamma': 0.3, 'classifier__colsample_bytree': 1.0}",0.5292883117819309,0.5555961276311809,0.5472536912026887,0.5485212430464305,0.516370020397007,0.5394058788118476,0.014420943913602309,43
33.98295450210571,0.7583466984313038,1.0557811737060547,0.07830083780548144,0.7,0.01,0.01,200,7,0.2,0.2,0.7,"{'classifier__subsample': 0.7, 'classifier__reg_lambda': 0.01, 'classifier__reg_alpha': 0.01, 'classifier__n_estimators': 200, 'classifier__max_depth': 7, 'classifier__learning_rate': 0.2, 'classifier__gamma': 0.2, 'classifier__colsample_bytree': 0.7}",0.5398448755855954,0.5596652985314591,0.5469740671653048,0.5633592920470768,0.5270365368914801,0.5473760140441832,0.013244362027279183,39
