feature,mean_abs_shap_value
cat__card_type_PHYSICAL_CARD,0.37594312
num__max_txn_count_day,0.30309102
cat__acc_mgmt_channel_Physical retail channel,0.18396245
cat__acc_mgmt_channel_Digital mobile channel,0.13312624
num__max_txn_amt_day,0.12434814
cat__card_type_VIRTUAL_CARD,0.1136696
num__change_mob_num_occurence,0.10994978
num__avg_amt_out_day,0.0733925
num__total_amount_out,0.06676675
num__avg_inflow_outflow_ratio_day,0.065936126
num__top_source_share_in,0.062070075
num__change_email_occurence,0.05521978
num__min_txn_amt_day,0.05304409
num__avg_time_btwn_txns_days,0.04403438
num__min_amount_INSTAPAY_IN,0.043030497
num__amount_INSTAPAY_IN,0.042587727
num__cv_time_btwn_txns,0.037761968
cat__orig_os_ANDROID,0.037628055
num__max_amount_INSTAPAY_IN,0.035793416
num__source_entropy_in,0.031811297
cat__orig_os_IOS,0.03095436
num__txn_amt_week_wk1,0.028562676
cat__orig_os_KIOSK,0.026604438
num__num_unique_source_accounts,0.021414718
num__txn_amt_week_wk2,0.020825196
num__max_time_btwn_txns_days,0.017690992
num__avg_net_flow_amt_day,0.015616245
num__txn_amt_week_wk3,0.015134265
num__repeat_counterparty_ratio_in,0.014652294
num__txn_count_week_wk1,0.014205748
num__amt_to_destination,0.01246723
num__percent_inflow_same_day_out,0.011265242
num__min_amount_INSTAPAY_OUT,0.01062298
num__txn_amt_vol_score_wk1,0.009996388
num__hour_entropy,0.0083377585
num__txn_amt_week_wk4,0.008260011
num__count_INSTAPAY_OUT,0.007967086
num__txn_amt_vol_score_wk2,0.00792947
num__amt_from_source,0.007654188
num__txn_amt_vol_score_wk4,0.007250126
num__max_amount_INSTAPAY_OUT,0.007119449
num__txn_days_active_30d,0.0055810055
num__txn_count_week_wk2,0.00538389
num__top_destination_share_out,0.005155046
num__num_inflow_days,0.004443328
num__destination_entropy_out,0.004134723
num__txn_count_week_wk3,0.0039821197
num__txn_amt_vol_score_wk3,0.003888953
num__txn_count_week_wk4,0.0034523648
num__txn_days_active_week_wk1,0.0034372876
num__min_txn_count_day,0.0034263823
num__repeat_counterparty_ratio_out,0.0033425645
num__count_total_in,0.0028931827
num__num_same_day_cico_days,0.0028784021
num__txn_velocity_week_wk2,0.0027266375
num__txn_velocity_week_wk1,0.002695545
num__txn_velocity_week_wk4,0.0023287171
cat__acc_mgmt_channel_Enterprise channel,0.0018025816
num__txn_velocity_delta_wk2_vs_wk1,0.0016618965
num__txn_velocity_week_wk3,0.0009904482
num__txn_velocity_delta_wk3_vs_wk2,0.0009392076
num__txn_days_active_week_wk3,0.00076342875
num__txn_days_active_week_wk2,0.0007580756
num__txn_velocity_accel_wk3,0.00070680067
num__txn_velocity_delta_wk4_vs_wk3,0.00065406645
num__txn_days_active_week_wk4,0.00051400956
num__amount_PESONET_OUT,0.0
