feature,mean_abs_shap_value
cat__card_type_PHYSICAL_CARD,0.39808
num__max_txn_count_day,0.29015917
cat__acc_mgmt_channel_Digital mobile channel,0.15800318
cat__acc_mgmt_channel_Physical retail channel,0.14926344
num__max_txn_amt_day,0.12425427
cat__card_type_VIRTUAL_CARD,0.119058095
num__change_mob_num_occurence,0.10302243
num__avg_amt_out_day,0.09316644
num__avg_inflow_outflow_ratio_day,0.08813819
num__avg_time_btwn_txns_days,0.08771464
num__top_source_share_in,0.08001659
num__min_txn_amt_day,0.055405337
num__change_email_occurence,0.05152677
num__cv_time_btwn_txns,0.05116938
num__total_amount_out,0.049572274
num__min_amount_INSTAPAY_IN,0.047911458
num__amount_INSTAPAY_IN,0.045542035
cat__orig_os_ANDROID,0.044838153
num__txn_amt_week_wk1,0.044035614
num__max_amount_INSTAPAY_IN,0.042284846
num__source_entropy_in,0.04039281
num__max_time_btwn_txns_days,0.04011914
cat__orig_os_IOS,0.038957663
num__avg_net_flow_amt_day,0.037272386
num__txn_amt_week_wk3,0.034607343
num__txn_days_active_30d,0.03414926
num__min_amount_INSTAPAY_OUT,0.031094668
num__txn_amt_vol_score_wk1,0.030248828
num__txn_amt_week_wk2,0.02959549
cat__orig_os_KIOSK,0.027905414
num__repeat_counterparty_ratio_in,0.027090149
num__hour_entropy,0.026851008
num__num_unique_source_accounts,0.024264274
num__txn_count_week_wk2,0.023336487
num__count_INSTAPAY_OUT,0.02333574
num__txn_amt_week_wk4,0.023258144
num__amt_from_source,0.02279582
num__txn_count_week_wk1,0.02201836
num__amt_to_destination,0.02198359
num__max_amount_INSTAPAY_OUT,0.018886326
num__top_destination_share_out,0.018188685
num__count_total_in,0.013456749
cat__acc_mgmt_channel_Enterprise channel,0.011409008
num__txn_count_week_wk3,0.009758963
num__txn_amt_vol_score_wk4,0.0096513685
num__txn_count_week_wk4,0.009133762
num__txn_amt_vol_score_wk3,0.008797772
num__percent_inflow_same_day_out,0.008168308
num__txn_velocity_week_wk2,0.0074597485
num__repeat_counterparty_ratio_out,0.0073437253
num__num_inflow_days,0.00727599
num__destination_entropy_out,0.0063068443
num__txn_amt_vol_score_wk2,0.0060482384
num__txn_velocity_week_wk1,0.0044876244
num__txn_days_active_week_wk1,0.0039185495
num__txn_velocity_delta_wk2_vs_wk1,0.0038958115
num__num_same_day_cico_days,0.0038324713
num__min_txn_count_day,0.003631929
num__txn_days_active_week_wk3,0.003254049
num__txn_days_active_week_wk2,0.0029935534
num__txn_velocity_delta_wk4_vs_wk3,0.0028793083
num__txn_velocity_week_wk4,0.002874918
num__txn_velocity_delta_wk3_vs_wk2,0.0026452006
num__txn_velocity_accel_wk3,0.0022902265
num__txn_velocity_week_wk3,0.00200139
num__txn_days_active_week_wk4,0.0018194604
num__amount_PESONET_OUT,0.0
